# x	y	u	g	r	i	z
29	1	0.0961	0.2051	1.2422	1.2949	1.4863
30	1	-0.0273	0.2954	1.1035	1.3477	1.3223
31	1	0.0676	0.2390	1.1230	1.2539	1.5273
32	1	0.0486	0.2202	1.0820	1.2480	1.3633
33	1	0.0770	0.2539	1.0762	1.2539	1.4453
34	1	0.0676	0.2202	0.9980	1.2734	1.1992
35	1	0.0486	0.2202	0.8164	1.2148	1.2812
36	1	0.0391	0.2202	0.8057	0.9824	1.1992
37	1	0.0676	0.1902	0.7490	0.9561	1.1562
38	1	0.0865	0.1975	0.7119	0.9424	0.9102
39	1	0.0201	0.2351	0.5977	0.9160	1.2402
40	1	0.0581	0.2275	0.6084	0.9492	1.1562
41	1	0.0486	0.2166	0.5459	0.9287	1.1562
42	1	0.0201	0.2166	0.4995	0.7764	0.7871
43	1	0.0201	0.2202	0.4888	0.7305	0.6221
44	1	0.0961	0.1638	0.3950	0.7305	0.6631
45	1	0.0961	0.1299	0.4316	0.6572	0.7871
46	1	0.0865	0.1750	0.4160	0.6113	0.8691
47	1	0.0770	0.1262	0.3589	0.6309	1.0332
48	1	0.0201	0.1675	0.3950	0.6113	0.5811
49	1	0.0486	0.1487	0.3691	0.4717	0.6631
50	1	-0.0083	0.1414	0.3066	0.5781	1.0742
51	1	0.0201	0.1187	0.3174	0.3789	0.5400
52	1	0.0770	0.1599	0.3120	0.4780	0.4575
53	1	0.0201	0.1149	0.3433	0.4517	0.5400
54	1	-0.0557	0.1411	0.3379	0.4453	0.4985
55	1	-0.0557	0.1112	0.2341	0.3853	0.6221
56	1	0.0391	0.1411	0.2495	0.3984	0.5811
57	1	0.0676	0.0961	0.2393	0.3853	0.2930
58	1	0.0675	0.0886	0.2549	0.4316	0.7871
59	1	-0.0273	0.1149	0.2341	0.3984	0.4985
60	1	0.0770	0.1187	0.2393	0.5049	0.4575
61	1	-0.0463	0.1036	0.2288	0.5312	0.6221
62	1	0.0201	0.0999	0.2651	0.7168	0.6631
63	1	0.0865	0.1224	0.2651	1.0098	0.4985
64	1	0.0675	0.1036	0.2029	1.0352	0.2109
65	1	0.0580	0.0848	0.1716	0.7500	0.2520
66	1	0.0012	0.0623	0.2341	0.6904	0.8691
67	1	0.0959	0.0999	0.2341	0.4585	0.5811
68	1	0.0865	0.0660	0.1768	0.3853	0.4575
69	1	0.1433	0.1036	0.1509	0.2993	0.5400
70	1	0.0201	0.0510	0.1768	0.2593	0.1697
71	1	-0.0557	0.0736	0.1145	0.2793	0.2109
72	1	-0.0367	0.0510	0.1145	0.2261	0.2930
73	1	0.0296	0.0510	0.0833	0.2395	0.1697
74	1	0.0201	0.0247	0.1560	0.1797	0.2930
75	1	0.0201	0.0472	0.1301	0.1068	0.0464
76	1	0.0486	0.0360	0.1353	0.2129	0.2520
77	1	0.0391	0.0585	0.0936	0.1200	0.5811
78	1	-0.0652	0.0660	0.1249	0.1665	-0.0770
79	1	0.0391	0.0059	0.0936	0.1200	0.3755
80	1	0.0296	0.0472	0.1093	0.1267	0.2520
81	1	-0.0463	0.0285	0.0885	0.1200	0.2520
82	1	0.0201	0.0472	0.0729	0.2063	0.1287
83	1	-0.0083	0.0435	0.0729	0.1665	0.4575
84	1	0.0201	0.0059	0.0573	0.1067	0.3755
85	1	-0.0367	0.0322	0.0521	0.1399	-0.1180
86	1	0.0580	0.0172	0.0729	0.2529	0.0464
87	1	0.0865	0.0547	0.0676	0.1599	0.2520
88	1	0.0107	0.0435	0.0729	0.0935	0.3755
89	1	0.0201	0.0059	0.0469	0.0869	0.3755
90	1	0.0486	0.0359	-0.0051	0.1465	0.4985
91	1	0.0486	0.0134	0.0781	0.0869	0.3345
92	1	0.0107	0.0435	0.0417	0.1200	0.1697
93	1	0.0201	-0.0204	0.0573	0.1001	0.0875
94	1	-0.0178	0.0472	0.0365	0.0670	0.2930
95	1	0.0012	0.0059	0.0676	0.1399	0.2109
96	1	0.0012	0.0435	0.0469	0.1134	0.1287
97	1	0.0012	0.0359	0.0573	0.0736	0.0875
98	1	0.0391	0.0284	0.0729	0.0205	-0.1180
99	1	-0.0273	-0.0166	0.0573	0.1001	0.0053
100	1	0.0107	0.0359	0.0417	0.1465	0.4165
101	1	0.0296	0.0134	0.0261	0.1200	-0.1592
102	1	0.0107	0.0097	0.0625	0.0072	0.3755
103	1	-0.0083	0.0247	0.0261	0.0603	0.3345
104	1	-0.0936	0.0209	0.0365	0.0205	0.0053
105	1	0.1055	0.0284	0.0157	0.0205	-0.0769
106	1	0.0201	-0.0016	0.0053	-0.0060	0.0464
107	1	0.0107	0.0472	0.0209	0.0471	0.3345
108	1	-0.0462	0.0247	0.0365	0.0935	-0.0358
109	1	0.0201	0.0172	0.0261	0.0603	0.0465
110	1	0.0107	0.0021	0.0209	-0.0724	0.2935
111	1	0.0201	-0.0054	0.0676	0.0072	0.4165
112	1	-0.0083	0.0021	0.0261	0.0802	0.0054
113	1	0.0391	0.0021	0.0469	0.0736	0.1287
114	1	0.0865	-0.0091	0.0729	0.0603	-0.4468
115	1	-0.0083	0.0172	0.0573	0.0868	0.0876
116	1	0.0675	0.0097	0.0417	0.0868	0.3345
117	1	0.0296	0.0134	0.1093	0.0735	-0.2827
118	1	0.0107	0.0172	0.0885	-0.0127	0.1699
119	1	-0.0367	0.0097	0.1196	0.0868	0.5400
120	1	0.0581	-0.0091	0.0885	0.0736	-0.0357
121	1	-0.0083	0.0209	0.0573	0.1399	-0.0769
122	1	-0.0747	0.0397	0.0988	0.0669	-0.1592
123	1	0.0391	0.0134	0.0729	0.0603	0.0465
124	1	-0.0273	0.0021	0.0885	0.1067	0.2520
125	1	0.0391	-0.0054	0.0521	0.0139	0.1699
126	1	-0.0273	-0.0016	0.0469	0.0669	0.1289
